household_id,seed,district,Cluster,village,Cycle
KIT-KAN-MUG-F-103830-15,Irish Potatoes,Kitagwenda,Bujumiro,Kanyamburara,A
KIT-KAN-MUK-M-182651-15,Irish Potatoes,Kitagwenda,Bujumiro,Kanyamburara,A
KIT-KAN-NYA-F-113236-15,Irish Potatoes,Kitagwenda,Bujumiro,Kanyamburara,A
KIT-KAN-ORI-M-172114-15,Irish Potatoes,Kitagwenda,Bujumiro,Kanyamburara,A
KIT-KAN-TUR-M-113309-15,Irish Potatoes,Kitagwenda,Bujumiro,Kanyamburara,A
KIT-KAN-TUS-F-103714-15,Irish Potatoes,Kitagwenda,Bujumiro,Kanyamburara,A
RAK-KIK-NAS-F-104303-18,Irish Potatoes,Rakai,Kanoni,Kikakata,A
RAK-KIK-SSE-M-081705-18,Irish Potatoes,Rakai,Kanoni,Kikakata,A
KIT-KAN-AGO-F-123535-15,Onions - Local,Kitagwenda,Bujumiro,Kanyamburara,A
KIT-KAN-ALI-F-103951-15,Onions - Local,Kitagwenda,Bujumiro,Kanyamburara,A
KIT-KAN-ATW-M-135111-15,Onions - Local,Kitagwenda,Bujumiro,Kanyamburara,A
KIT-KAN-AWO-F-111255-15,Onions - Local,Kitagwenda,Bujumiro,Kanyamburara,A
KIT-KAN-BAR-M-170515-15,Onions - Local,Kitagwenda,Bujumiro,Kanyamburara,A
KIT-KAN-BEG-M-185300-15,Onions - Local,Kitagwenda,Bujumiro,Kanyamburara,A
KIT-KAN-BIR-F-103455-15,Onions - Local,Kitagwenda,Bujumiro,Kanyamburara,A
KIT-KAN-HAB-M-123923-15,Onions - Local,Kitagwenda,Bujumiro,Kanyamburara,A
KIT-KAN-ISI-M-140843-15,Onions - Local,Kitagwenda,Bujumiro,Kanyamburara,A
KIT-KAN-KAH-M-152635-15,Onions - Local,Kitagwenda,Bujumiro,Kanyamburara,A
KIT-KAN-KIS-M-122853-15,Onions - Local,Kitagwenda,Bujumiro,Kanyamburara,A
KIT-KAN-MUG-F-103830-15,Onions - Local,Kitagwenda,Bujumiro,Kanyamburara,A
KIT-KAN-MUK-M-182651-15,Onions - Local,Kitagwenda,Bujumiro,Kanyamburara,A
KIT-KAN-NYA-F-113236-15,Onions - Local,Kitagwenda,Bujumiro,Kanyamburara,A
KIT-KAN-ORI-M-172114-15,Onions - Local,Kitagwenda,Bujumiro,Kanyamburara,A
KIT-KAN-TUR-M-113309-15,Onions - Local,Kitagwenda,Bujumiro,Kanyamburara,A
KIT-KAN-TUS-F-103714-15,Onions - Local,Kitagwenda,Bujumiro,Kanyamburara,A
RAK-KIK-NAS-F-104303-18,Onions - Local,Rakai,Kanoni,Kikakata,A
RAK-KIK-SSE-M-081705-18,Onions - Local,Rakai,Kanoni,Kikakata,A
RAK-KYA-NAN-F-121356-18,Onions - Local,Rakai,Kasensero,Kyaluwakula,A
RAK-KYE-SER-M-101405-18,Onions - Local,Rakai,Kasensero,Kyengeza_Rakai,A
RAK-KYE-SSE-M-165346-18,Onions - Local,Rakai,Kasensero,Kyengeza_Rakai,A
RAK-KYE-YIG-M-180956-18,Onions - Local,Rakai,Kasensero,Kyengeza_Rakai,A
RAK-KIW-LUB-M-123943-18,Onions - Local,Rakai,Kasensero,Kiwaguzi_B,A
RAK-KIS-TOP-F-180403-18,Onions - Local,Rakai,Kasensero,Kisimbanyiriri,A
RAK-NAB-DDA-F-095802-18,Onions - Local,Rakai,Kasensero,Nabyala,A
